㔶	kong
一九五三年	yi jiu ng san nien
一九五九年	yi jiu ng jiu nien
一九五二年	yi jiu ng e nien
一九五五年	yi jiu ng ng nien
一九五八年	yi jiu ng bai nien
一九五六年	yi jiu ng liu nien
一九五四年	yi jiu ng su nien
一九五零年	yi jiu ng liang nien
一九八	yi jiu bai
一九八一年	yi jiu bai yi nien
一九八七年	yi jiu bai qi nien
一九八三年	yi jiu bai san nien
一九八九	yi jiu bai jiu
一九八九年	yi jiu bai jiu nien
一九八二年	yi jiu bai e nien
一九八五年	yi jiu bai ng nien
一九八八年	yi jiu bai bai nien
一九八六年	yi jiu bai liu nien
一九八四年	yi jiu bai su nien
一九六	yi jiu liu
一九六一年	yi jiu liu yi nien
一九六七年	yi jiu liu qi nien
一九六三年	yi jiu liu san nien
一九六九年	yi jiu liu jiu nien
一九六二年	yi jiu liu e nien
一九六五年	yi jiu liu ng nien
一九六八年	yi jiu liu bai nien
一九六六	yi jiu liu liu
一九六六年	yi jiu liu liu nien
一九六四年	yi jiu liu su nien
一九六零年	yi jiu liu liang nien
一九四	yi jiu su
一九四一	yi jiu su yi
一九四一年	yi jiu su yi nien
一九四七年	yi jiu su qi nien
一九四三	yi jiu su san
一九四三年	yi jiu su san nien
一九四九年	yi jiu su jiu nien
一九四二	yi jiu su e
一九四二年	yi jiu su e nien
一九四五年	yi jiu su ng nien
一九四八	yi jiu su bai
一九四八年	yi jiu su bai nien
一九四六年	yi jiu su liu nien
一九四四年	yi jiu su su nien
一乡	yi xiong
一买一卖	yi mai yi mai
一乱涂地	yi lon tu ti
一乾二净	yi qien e qin
一了百了	yi li ba li
一了百当	yi li ba dong
一事	yi su
一事不明	yi su bei miang
一事不知	yi su bei zi
一事无成	yi su wu cen
一二	yi e
一二一	yi e yi
一二万	yi e wan
一二万贯	yi e wan guon
一二三	yi e san
一二三四	yi e san su
一二三四五	yi e san su ng
一二两	yi e yong
一二个	yi e go
一二九	yi e jiu
一二二七年	yi e e qi nien
一二五	yi e ng
一二亩	yi e meu
一二件	yi e qien
一二位	yi e wei
一二例	yi e li
一二倍	yi e pi
一二八	yi e bai
一二分	yi e fen
一二分钟	yi e fen jiung
一二十	yi e si
一二十万	yi e si wan
一二十两	yi e si yong
一二十个	yi e si go
一二十件	yi e si qien
一二十元	yi e si yon
一二十匹	yi e si pi
一二十卷	yi e si jon
一二十厘米	yi e si li mi
一二十天	yi e si tien
一二十岁	yi e si xi
一二十年	yi e si nien
一二十户	yi e si fu
一二十日	yi e si ni
一二十种	yi e si jiung
一二十米	yi e si mi
一二十里	yi e si li
一二十页	yi e si ye
一二十首	yi e si seu
一二千	yi e qien
一二千两	yi e qien yong
一二千米	yi e qien mi
一二叠	yi e die
一二句	yi e jyu
一二只	yi e zi
一二名	yi e miang
一二品	yi e pin
一二四	yi e su
一二声	yi e xiang
一二天	yi e tien
一二寸	yi e ceng
一二尺	yi e qia
一二层	yi e ceng
一二年	yi e nien
一二成	yi e cen
一二招	yi e zeu
一二斤	yi e jin
一二日	yi e ni
一二枚	yi e mi
一二根	yi e gien
一二次	yi e cu
一二点	yi e dien
一二片	yi e pien
一二百	yi e ba
一二百万	yi e ba wan
一二百两	yi e ba yong
一二百个	yi e ba go
一二百元	yi e ba yon
一二百分	yi e ba fen
一二百号	yi e ba hau
一二百名	yi e ba miang
一二百块	yi e ba kuai
一二百年	yi e ba nien
一二百招	yi e ba zeu
一二百斤	yi e ba jin
一二百米	yi e ba mi
一二百辆	yi e ba liong
一二百里	yi e ba li
一二百首	yi e ba seu
一二种	yi e jiung
一二节	yi e jie
一二里	yi e li
一二零	yi e liang
一五	yi ng
一五一十	yi ng yi si
一五五年	yi ng ng nien
一五日元	yi ng ni yon
一五零	yi ng liang
一些	yi ji
一些丝	yi ji su
一些余部	yi ji yu pu
一些则	yi ji ze
一些半	yi ji bon
一些半些	yi ji bon ji
一些场次	yi ji qiong cu
一些支	yi ji zi
一些片	yi ji pien
一些种	yi ji jiung
一些第三	yi ji ti san
一些篇	yi ji pien
一些系列	yi ji xi lie
一些纸	yi ji zi
一些美金	yi ji mi jin
一产	yi can
一亩	yi meu
一亮	yi liong
一亲芳泽	yi qiang fong ca
一人之下	yi nin zi ha
一人之交	yi nin zi gau
一人份	yi nin fen
一人传虚	yi nin qon xyu
一人向隅	yi nin xiong yu
一人善射	yi nin sen xia
一人得道	yi nin de tau
一人班	yi nin ban
一亿	yi yi
一亿一千万元	yi yi yi qien wan yon
一亿一千多万	yi yi yi qien do wan
一亿七千万	yi yi qi qien wan
一亿三千万	yi yi san qien wan
一亿三千万年	yi yi san qien wan nien
一亿三千余万两	yi yi san qien yu wan yong
一亿三千多万年	yi yi san qien do wan nien
一亿两千万	yi yi yong qien wan
一亿二千万	yi yi e qien wan
一亿五千万	yi yi ng qien wan
一亿人	yi yi nin
一亿人次	yi yi nin cu
