㔶	kong
尚弗勒	xiong bei lei
尚待	xiong toi
尚德义	xiong de ni
尚志	xiong zi
尚志县	xiong zi xon
尚志市	xiong zi si
尚性钡	xiong xin pi
尚感	xiong gong
尚慕杰	xiong mu jie
尚掌门	xiong jiong men
尚方剑	xiong fong jien
尚方宝剑	xiong fong bau jien
尚无	xiong wu
尚无不可	xiong wu bei kie
尚无先例	xiong wu xien li
尚无太子	xiong wu toi zu
尚无子	xiong wu zu
尚无情	xiong wu qin
尚无礼	xiong wu li
尚无纤	xiong wu qien
尚明轩	xiong miang xon
尚晓华	xiong xieu fa
尚普兰	xiong pu lan
尚有	xiong yiu
尚有云	xiong yiu yun
尚有何	xiong yiu ho
尚有余	xiong yiu yu
尚有可为	xiong yiu kie wei
尚有微	xiong yiu zang
尚有情	xiong yiu qin
尚有盛	xiong yiu sen
尚有胜	xiong yiu sen
尚朋堂	xiong peng tong
尚未	xiong wei
尚未付清	xiong wei fu qiang
尚未可知	xiong wei kie zi
尚未埋葬	xiong wei mai zong
尚校	xiong hau
尚武	xiong wu
尚武精神	xiong wu jiang sen
尚气	xiong qi
尚沟村	xiong gieu qyun
尚活图存	xiong woi tu ceng
尚然	xiong len
尚父	xiong fu
尚祈列	xiong qi lie
尚祈见	xiong qi jien
尚福林	xiong fu lin
尚绪谦	xiong xyu qien
尚缺	xiong qyue
尚美英	xiong mi yin
尚耿二	xiong gien e
尚能	xiong len
尚莒城	xiong jyu cen
尚虚中馈	xiong xyu jiung kui
尚衅鳌	xiong xin ngau
尚衣	xiong yi
尚衣局	xiong yi qiu
尚衣监	xiong yi gan
尚西泊	xiong xi bo
尚要	xiong yeu
尚贤任	xiong xien lin
尚贤堂	xiong xien tong
尚足	xiong zu
尚输	xiong xyu
尚远	xiong yon
尚逊周	xiong xyun zeu
尚金锁	xiong jin so
尚锡亭	xiong xi tin
尚长荣	xiong qiong leng
尚阳堡	xiong yong bau
尚难	xiong lan
尚需	xiong xyu
尚非	xiong fi
尚须	xiong xyu
尚飨	xiong xiong
尚鲁智	xiong lu zi
尝一尝	xiong yi xiong
尝个	xiong go
尝出	xiong qyu
尝到	xiong dau
尝到了	xiong dau li
尝味	xiong wei
尝尝	xiong xiong
尝尝鲜	xiong xiong xien
尝新	xiong xin
尝来尝去	xiong loi xiong qie
尝点	xiong dien
尝甜头	xiong tien teu
尝胆	xiong dan
尝胆卧薪	xiong dan ngo xin
尝胆眠薪	xiong dan mien xin
尝试	xiong si
尝试性	xiong si xin
尝试法	xiong si fa
尝鲜	xiong xien
尝鼎一脔	xiong din yi lon
尤	yiu
尤万科	yiu wan ko
尤万诺	yiu wan lo
尤三姐	yiu san jia
尤世威	yiu si wei
尤世禄	yiu si lu
尤为	yiu wei
尤为重要	yiu wei qiung yeu
尤二姐	yiu e jia
尤二姨	yiu e yi
尤亲倚	yiu qiang qi
尤以	yiu yi
尤以冬	yiu yi deng
尤以楚	yiu yi cyu
尤伯杯	yiu be bi
尤伯杯赛	yiu be bi soi
尤佐夫	yiu zo fu
尤佳	yiu ka
尤先科	yiu xien ko
尤其	yiu qi
尤其甚者	yiu qi sen jia
尤内斯	yiu nyu su
尤内斯库	yiu nyu su ku
尤利乌	yiu li wu
尤利塞	yiu li se
尤利西斯	yiu li xi su
尤加利	yiu ga li
尤加利树	yiu ga li xyu
尤卡坦	yiu ka tan
尤卡坦半岛	yiu ka tan bon dau
尤善画	yiu sen fa
尤国材	yiu gue coi
尤太太	yiu toi toi
尤奈斯库	yiu lai su ku
尤奥洛	yiu ngau lo
尤如	yiu lu
尤小刚	yiu xieu gong
尤尔弗	yiu ng bei
尤尔特	yiu ng te
尤尼克	yiu ni kie
尤尼瓦	yiu ni nga
尤尼科	yiu ni ko
尤尼莱	yiu ni loi
尤异	yiu yi
尤得胜	yiu de sen
尤德利	yiu de li
尤拉齐	yiu lai qi
尤文三	yiu wen san
尤文图	yiu wen tu
尤文图斯	yiu wen tu su
尤文图斯队	yiu wen tu su dei
尤斯特	yiu su te
尤晓畅	yiu xieu qiong
尤有甚者	yiu yiu sen jia
尤有进者	yiu yiu jin jia
尤杯赛	yiu bi soi
尤正涛	yiu jiang tau
尤氏乃	yiu si lai
尤氏凤	yiu si feng
尤氏命	yiu si miang
尤氏姊妹	yiu si zu moi
尤氏心	yiu si xin
尤氏惜	yiu si xi
尤氏方	yiu si fong
尤氏李	yiu si li
尤氏笑	yiu si xieu
尤清红	yiu qiang feng
尤溪	yiu xi
尤溪县	yiu xi xon
尤物	yiu wu
尤特凯	yiu te koi
尤瑞那	yiu lei na
尤瑟纳	yiu se la
尤甚	yiu sen
尤甲仁	yiu ga nin
尤登尼	yiu deng ni
尤科斯	yiu ko su
尤精历	yiu jiang li
尤精研	yiu jiang nien
尤精通	yiu jiang teng
尤素夫	yiu su fu
尤素福	yiu su fu
尤索林	yiu so lin
尤纳斯	yiu la su
尤维纳利斯	yiu wei la li su
尤老娘	yiu lau niong
尤而效之	yiu e hau zi
尤艳春	yiu yen qyun
尤苏巴	yiu su ba
尤苏弗	yiu su bei
尤莉娅	yiu li nga
尤西堂	yiu xi tong
尤贝罗	yiu bi lo
尤迪安	yiu di ngon
尤里	yiu li
尤里乌	yiu li wu
尤里克	yiu li kie
尤里卡	yiu li ka
尤里安	yiu li ngon
尤锡良	yiu xi liong
尤长于	yiu qiong yu
尤非意	yiu fi yi
尤须	yiu xyu
尤风宁	yiu feng ning
尤鼎盛	yiu din sen
尥	pau
尥蹶子	pau gai zu
尧	lieu
尧天舜日	lieu tien xyun ni
尧子营村	lieu zu yin qyun
尧山	lieu san
尧帝	lieu ti
尧年舜日	lieu nien xyun ni
尧斯	lieu su
尧治河村	lieu zi ho qyun
尧舜	lieu xyun
尧舜禹	lieu xyun yu
尧舜禹汤	lieu xyun yu tong
尧西	lieu xi
尧趋舜步	lieu qyu xyun pu
尧都区	lieu du qyu
尬	kai
就	qiu
就业	qiu nie
就业人口	qiu nie nin kieu
就业人数	qiu nie nin su
就业办	qiu nie pan
就业处	qiu nie qyu
就业局	qiu nie qiu
就业指导	qiu nie zi dau
就业机会	qiu nie ji fi
就业率	qiu nie soi
就业结构	qiu nie jie gieu
就业网	qiu nie mong
就业者	qiu nie jia
就业观	qiu nie guon
就业证	qiu nie zen
就业辅导	qiu nie fu dau
就业部	qiu nie pu
就业门路	qiu nie men lu
就义	qiu ni
就事论事	qiu su len su
就任	qiu lin
就任典礼	qiu lin dien li
就任演说	qiu lin yen xyue
就任者	qiu lin jia
就位	qiu wei
就位道	qiu wei tau
就其	qiu qi
就别进	qiu pie jin
就势	qiu si
就医	qiu yi
就医网	qiu yi mong
就医请	qiu yi qiang
就医难	qiu yi lan
就可以看	qiu kie yi kon
就地免职	qiu ti mien zi
就地取材	qiu ti qi coi
就地正法	qiu ti jiang fa
就地解决	qiu ti gai ko
就坡下驴	qiu po ha lyu
就学	qiu ho
就学年龄	qiu ho nien lin
就实论虚	qiu si len xyu
就实避虚	qiu si pi xyu
就寝	qiu qin
就寝时间	qiu qin si gan
就席	qiu xi
就座	qiu co
就心离德	qiu xin li de
就戮	qiu liu
就手	qiu seu
就擒	qiu qin
就教于	qiu gau yu
就日瞻云	qiu ni zen yun
就是	qiu si
就是指	qiu si zi
就是说	qiu si xyue
就棍打腿	qiu gun da toi
就正有道	qiu jiang yiu tau
就此	qiu cu
就此打住	qiu cu da qyu
就此结束	qiu cu jie xyu
就此而言	qiu cu e nien
就汤下面	qiu tong ha mien
就用到	qiu yiung dau
就算	qiu son
就绪	qiu xyu
就职	qiu zi
就职仪式	qiu zi yi si
就职典礼	qiu zi dien li
就职演说	qiu zi yen xyue
就聘	qiu pin
就范	qiu fan
就虚避实	qiu xyu pi si
就行了	qiu hang li
就要	qiu yeu
就让	qiu long
就诊	qiu jiang
就诊者	qiu jiang jia
就读	qiu tu
就读于	qiu tu yu
就越	qiu yue
就近	qiu qin
就近入学	qiu qin lu ho
就这样办	qiu ze yong pan
就难避易	qiu lan pi ya
就餐	qiu can
就餐卡	qiu can ka
就餐者	qiu can jia
尸	si
尸位	si wei
尸位素餐	si wei su can
尸体	si ti
尸体解剖	si ti gai peu
尸僵	si jiung
尸变	si bien
尸居余气	si jyu yu qi
尸居龙见	si jyu liung jien
尸山血海	si san xyue hoi
尸布	si bu
尸恋	si lien
尸斑	si ban
尸检	si jien
尸横遍野	si wang pien ya
尸毗王	si bi wong
尸王	si wong
尸王殿	si wong dien
尸禄素食	si lu su si
尸禄素餐	si lu su can
尸蜡	si la
尸衣	si yi
尸解	si gai
尸身	si sen
尸首	si seu
尸骨	si gui
尸骨未寒	si gui wei hon
尸骸	si xie
尸鸠之平	si jiu zi piang
尹	yun
尹中余	yun jiung yu
尹为世	yun wei si
尹丽川	yun li qon
尹丽贞	yun li zen
尹二人	yun e nin
尹仪民	yun yi min
尹仲利	yun jiung li
尹优优	yun yiu yiu
尹伯成	yun be cen
尹俊春	yun jyun qyun
尹兄弟	yun xiang ti
尹光雄	yun guong xiung
尹克升	yun kie sen
尹克西	yun kie xi
尹兴圣	yun xin sen
尹升厅	yun sen tiang
尹司马防	yun su ma fong
尹吉甫	yun ji pu
尹同耀	yun teng yeu
尹商阳	yun xiong yong
尹基福	yun ji fu
尹大勋	yun tai xun
尹大哥	yun tai ko
尹大目	yun tai mu
尹天照	yun tien zeu
尹子庚	yun zu kien
尹子维	yun zu wei
尹孙叔	yun sen xu
尹宗浩	yun zeng hau
尹宗禹	yun zeng yu
尹家庄	yun ga zong
尹家河	yun ga ho
尹居士	yun jyu si
尹师伯	yun su be
尹师兄	yun su xiang
尹师叔	yun su xu
尹师弟	yun su ti
尹常带	yun qiong dai
尹庆群	yun qin qyun
尹张佳	yun jiong ka
尹张顾	yun jiong gu
尹志平	yun zi piang
尹志蕙	yun zi fi
尹恩惠	yun ngien fi
尹成杰	yun cen jie
尹成根	yun cen gien
尹扬明	yun yong miang
尹明善	yun miang sen
尹曾兼	yun zen jien
尹来风	yun loi feng
尹杨明	yun yong miang
尹树广	yun xyu guong
尹汉宁	yun hon ning
尹洪东	yun feng deng
尹淑珍	yun xyu zen
尹湛纳	yun kang la
尹玉那	yun yu na
尹王章	yun wong jiong
尹瘦石	yun seu xia
尹盛章	yun sen jiong
尹相杰	yun xiong jie
尹秉高	yun bin gau
尹稼坞村	yun ga wu qyun
尹章垓	yun jiong goi
尹维峻	yun wei jyun
尹者极	yun jia ji
尹良毅	yun liong yi
尹西克	yun xi kie
尹道兄	yun tau xiang
尹道爷	yun tau ya
尹钧科	yun jyun ko
尹陈文	yun cen wen
尹集镇	yun ji zen
尹韩仲	yun hon jiung
尹香主	yun xiong jyu
尹鸿祝	yun fen jyu
尹黑牛	yun he niu
尺	qia
尺	ta
尺书	qia xyu
尺二冤家	qia e yuon ga
尺二秀才	qia e xiu coi
尺八	qia bai
尺兵寸铁	qia bin ceng tie
尺动脉	qia teng me
尺地	qia ti
尺壁寸阴	qia bia ceng yin
尺头儿	qia teu e
尺子	qia zu
尺寸	qia ceng
尺寸之功	qia ceng zi gung
尺寸之地	qia ceng zi ti
尺寸之柄	qia ceng zi bin
尺寸千里	qia ceng qien li
尺寸可取	qia ceng kie qi
尺山寸水	qia san ceng xyu
尺布	qia bu
尺布斗粟	qia bu deu su
尺幅	qia fu
尺幅千里	qia fu qien li
尺度	qia tu
尺度空间	qia tu kung gan
尺有所短	qia yiu so don
尺板斗食	qia ban deu si
尺椽片瓦	qia qon pien nga
尺步绳趋	qia pu sen qyu
尺水丈波	qia xyu jiong bo
尺波电谢	qia bo tien xia
尺泽	qia ca
尺泽之鲵	qia ca zi e
尺牍	qia du
尺状	qia cong
尺瑜寸瑕	qia yu ceng ha
尺短寸长	qia don ceng qiong
尺码	qia ma
尺竹伍符	qia jyu ng fu
尺籍伍符	qia ji ng fu
尺素	qia su
尺蚓穿堤	qia yin qon di
尺蠖	qia ngo
尺蠖求伸	qia ngo qiu sen
尺蠖蛾	qia ngo ngo
尺骨	qia gui
尻	tau
尻舆神马	tau yu sen ma
尻轮神马	tau len sen ma
尼	ni
尼一世	ni yi si
尼义钞	ni ni cau
尼乌斯	ni wu su
尼亚	ni nga
尼亚佐夫	ni nga zo fu
尼亚加拉	ni nga ga lai
尼亚加拉大瀑布	ni nga ga lai tai pu bu
尼亚哥	ni nga ko
尼亚城	ni nga cen
尼亚奈	ni nga lai
尼亚尔	ni nga ng
尼亚尼	ni nga ni
尼亚岛	ni nga dau
尼亚斯	ni nga su
尼亚桥	ni nga qieu
尼亚湾	ni nga wan
尼亚瓦	ni nga nga
尼亚美	ni nga mi
尼亚胡	ni nga fu
尼亚萨	ni nga sai
尼亚萨兰	ni nga sai lan
尼亚语	ni nga nyu
尼亚诺	ni nga lo
尼亚队	ni nga dei
尼什	ni xia
尼伦伯格	ni len be ga
尼伯伦	ni be len
尼伯尔	ni be ng
尼伯龙	ni be liung
尼光佛	ni guong fo
尼克	ni kie
尼克会	ni kie fi
尼克坦	ni kie tan
尼克尔	ni kie ng
尼克斯	ni kie su
尼克斯队	ni kie su dei
尼克松	ni kie seng
尼克森	ni kie sen
尼克索	ni kie so
尼克莱	ni kie loi
尼克酸	ni kie son
尼兹亲王	ni zu qiang wong
尼冷冷	ni lang lang
尼利尔	ni li ng
尼加拉瀑	ni ga lai pu
尼加拉瓜	ni ga lai gua
尼努尔	ni lu ng
尼勒克	ni lei kie
尼勒克县	ni lei kie xon
尼卡罗	ni ka lo
尼古丁	ni gu diang
尼古拉	ni gu lai
尼古拉斯	ni gu lai su
尼古拉耶夫	ni gu lai xia fu
尼古西亚	ni gu xi nga
尼可刹米	ni kie sai mi
尼哈番	ni ha fan
尼哥罗	ni ko lo
尼国	ni gue
尼基人	ni ji nin
尼基塔	ni ji ta
尼塞	ni se
尼塞河	ni se ho
尼多斯	ni do su
尼夫	ni fu
尼奥	ni ngau
尼奥夫	ni ngau fu
尼奥尼	ni ngau ni
尼奥斯	ni ngau su
尼奥罗	ni ngau lo
尼姆	ni mu
尼姆达	ni mu tai
尼姆鲁	ni mu lu
尼姑	ni gu
尼姑庵	ni gu ngon
尼安岛	ni ngon dau
尼安得塔	ni ngon de ta
尼安德	ni ngon de
尼安海	ni ngon hoi
尼家嗣	ni ga si
尼尔	ni ng
尼尔吉	ni ng ji
尼尔回	ni ng fi
尼尔斯	ni ng su
尼尔森	ni ng sen
尼尔逊	ni ng xyun
尼尔马	ni ng ma
尼尚特	ni xiong te
尼尼微	ni ni zang
尼山砚	ni san yen
尼巴莱	ni ba loi
尼布尔	ni bu ng
尼布楚	ni bu cyu
尼布甲	ni bu ga
尼布甲尼	ni bu ga ni
尼庵	ni ngon
尼康	ni kong
尼康杯	ni kong bi
尼德	ni de
尼德兰	ni de lan
尼德炜	ni de wei
尼思哈	ni su ha
尼恩特	ni ngien te
尼扎	ni zai
尼扎姆	ni zai mu
尼扬维齐	ni yong wei qi
尼扬贾	ni yong ga
尼扬韦	ni yong wei
尼拉	ni lai
尼拔奉	ni pai feng
尼摩星	ni mo xin
尼斯	ni su
尼斯河	ni su ho
尼斯湖	ni su fu
尼斯顿	ni su den
尼日利亚	ni ni li nga
尼日利亚人	ni ni li nga nin
尼日利亚政府	ni ni li nga zen fu
尼日尔	ni ni ng
尼日尔共和国	ni ni ng kung ho gue
尼日尔河	ni ni ng ho
尼昂	ni ngong
尼普科	ni pu ko
尼普顿	ni pu den
尼木	ni mu
尼木县	ni mu xon
尼杜迎	ni du yin
尼果来	ni guo loi
尼柯夫	ni ko fu
尼柯罗	ni ko lo
尼格	ni ga
尼格利	ni ga li
尼格罗	ni ga lo
尼格罗黑	ni ga lo he
尼格莱斯	ni ga loi su
尼格里	ni ga li
尼桑	ni song
尼氏体	ni si ti
尼沃契	ni wo qi
尼泊尔	ni bo ng
尼泊尔人	ni bo ng nin
尼泊尔共产党	ni bo ng kung can dong
尼泊尔政府	ni bo ng zen fu
尼泊尔王国	ni bo ng wong gue
尼泊尔语	ni bo ng nyu
尼波罗	ni bo lo
尼洋	ni yong
尼洋曲	ni yong qyu
尼洋河	ni yong ho
尼牙孜	ni nga zai
尼特	ni te
尼特斯	ni te su
尼狄克	ni di kie
尼玛	ni ma
尼玛县	ni ma xon
尼玛察	ni ma ca
尼瓦尔	ni nga ng
尼科	ni ko
尼科夫	ni ko fu
尼科娃	ni ko wa
尼科尔	ni ko ng
尼科尔斯	ni ko ng su
尼科尔森	ni ko ng sen
尼科巴	ni ko ba
尼科拉	ni ko lai
尼科波	ni ko bo
尼科波尔	ni ko bo ng
尼科美	ni ko mi
尼科西亚	ni ko xi nga
尼穆莱	ni mu loi
尼米	ni mi
尼米兹	ni mi zu
尼索斯	ni so su
尼维斯	ni wei su
尼维斯岛	ni wei su dau
尼罗	ni lo
尼罗河	ni lo ho
尼罗河畔	ni lo ho pon
尼罗特	ni lo te
尼罗红	ni lo feng
尼罗蓝	ni lo lang
尼罗非	ni lo fi
尼群地平	ni qyun ti piang
尼翁河	ni weng ho
尼若牟	ni lo mau
尼茨基	ni cu ji
尼莫	ni mo
尼莫地平	ni mo ti piang
尼莫萨恩	ni mo sai ngien
尼萨	ni sai
尼葛洛庞	ni gie lo pong
尼西	ni xi
尼西亚信	ni xi nga xin
尼西亚公	ni xi nga gung
尼西亚斯	ni xi nga su
尼西亚语	ni xi nga nyu
尼诺夫	ni lo fu
尼贝龙	ni bi liung
尼赫鲁	ni ho lu
尼赫鲁大学	ni ho lu tai ho
尼达	ni tai
尼达姆	ni tai mu
尼迈耶	ni mai xia
尼迈里	ni mai li
尼连禅	ni lien dan
尼那	ni na
尼采	ni coi
尼采蒂	ni coi di
尼阿克	ni nga kie
尼雅	ni nga
尼雅河	ni nga ho
尼雪夫	ni xie fu
尼雷尔	ni lei ng
尼韦勒	ni wei lei
尼韦尔	ni wei ng
尼龙	ni liung
尼龙丝	ni liung su
尼龙伞	ni liung san
尼龙布	ni liung bu
尼龙带	ni liung dai
尼龙管	ni liung guon
尼龙线	ni liung xien
尼龙绳	ni liung sen
尼龙网	ni liung mong
尼龙衫	ni liung sen
尼龙袋	ni liung toi
尼龙袜	ni liung wai
尽	qin
尽义务	qin ni wu
尽些	qin ji
尽人事	qin nin su
尽人事听	qin nin su tiang
尽人皆知	qin nin gai zi
尽付东流	qin fu deng liu
尽信	qin xin
尽做坏事	qin zu fai su
尽先	qin xien
尽入彀中	qin lu gieu jiung
尽全力	qin qon li
尽全心	qin qon xin
尽兴	qin xin
尽兴而归	qin xin e gui
尽其	qin qi
尽其在我	qin qi coi ngo
尽其所有	qin qi so yiu
尽其所能	qin qi so len
尽其所长	qin qi so jiong
尽到责任	qin dau ze lin
尽力	qin li
尽力去做	qin li qie zu
尽力尽责	qin li qin ze
尽力尽量	qin li qin liong
尽力皆知	qin li gai zi
尽力而为	qin li e wei
尽可	qin kie
尽可能	qin kie len
尽可能减少	qin kie len gang seu
尽可能少	qin kie len seu
尽善	qin sen
尽善尽美	qin sen qin mi
尽在不言中	qin coi bei nien jiung
尽多尽少	qin do qin seu
尽失	qin si
尽头	qin teu
尽如	qin lu
尽如人意	qin lu nin yi
尽如所期	qin lu so qi
尽孝	qin hau
尽尽	qin qin
尽心	qin xin
尽心尽力	qin xin qin li
尽心尽意	qin xin qin yi
尽心尽职	qin xin qin zi
尽心竭力	qin xin jie li
尽忠	qin jiung
尽忠尽职	qin jiung qin zi
尽忠报国	qin jiung bau gue
尽忠竭力	qin jiung jie li
尽忠职守	qin jiung zi seu
尽快	qin kuai
尽快恢复	qin kuai fi fu
尽态极妍	qin toi ji nien
尽性	qin xin
尽悉	qin xi
尽情	qin qin
尽情欢乐	qin qin fon lo
尽情欢唱	qin qin fon qiong
尽情歌唱	qin qin go qiong
尽情玩乐	qin qin wan lo
尽情聊	qin qin lieu
尽意	qin yi
尽成竭节	qin cen jie jie
尽我所能	qin ngo so len
尽收	qin seu
尽收眼底	qin seu ngan di
尽散	qin san
尽数	qin su
尽早	qin zau
尽是	qin si
尽显	qin xien
尽本分	qin ben fen
尽欢	qin fon
尽欢而散	qin fon e san
尽然	qin len
尽瘁	qin cei
尽端	qin doi
尽管	qin guon
尽管如此	qin guon lu cu
尽美尽善	qin mi qin sen
尽职	qin zi
尽职尽责	qin zi qin ze
尽自	qin cu
尽致	qin ci
尽若	qin lo
尽要	qin yeu
尽诚竭节	qin cen jie jie
尽读	qin tu
尽责	qin ze
尽责任	qin ze lin
尽责尽力	qin ze qin li
尽责尽职	qin ze qin zi
尽速	qin su
尽释前嫌	qin si qien xien
尽量	qin liong
尽量减少	qin liong gang seu
尽量少	qin liong seu
尽量避免	qin liong pi mien
尾	mi
尾号	mi hau
尾声	mi xiang
尾大不掉	mi tai bei die
尾大难掉	mi tai lan die
尾导	mi dau
尾山	mi san
尾崎	mi qi
尾差	mi cai
尾巴	mi ba
尾市	mi si
尾形	mi xin
尾形码	mi xin ma
尾数	mi su
尾旋	mi xon
尾景	mi jin
尾板	mi ban
尾标	mi bieu
尾桨	mi jiong
尾梁	mi liong
尾椎	mi jyui
尾椎骨	mi jyui gui
尾楼	mi leu
尾欠	mi qien
尾款	mi kuon
尾款付清	mi kuon fu qiang
尾段	mi ton
尾毛	mi mau
尾气	mi qi
尾水渠	mi xyu gie
尾注	mi jyu
尾流	mi liu
尾灯	mi den
尾牙	mi nga
尾状核	mi cong ho
尾生之信	mi sang zi xin
尾生抱柱	mi sang bau jyu
尾田	mi tien
尾盘	mi pon
尾盘报	mi pon bau
尾眉	mi mi
尾矿	mi kuong
尾矿库	mi kuong ku
尾码	mi ma
尾端	mi doi
尾端校正	mi doi hau jiang
尾管	mi guon
尾索	mi so
尾羽	mi yu
尾翘	mi qieu
尾翼	mi ye
尾舵	mi do
尾花	mi fa
尾蚴	mi jiu
尾行	mi hang
尾身	mi sen
尾车	mi qia
尾边	mi bien
尾追	mi jyu
尾部	mi pu
尾闾	mi lu
尾随	mi xyu
尾随者	mi xyu jia
尾随追踪	mi xyu jyu zeng
尾音	mi yin
尾骨	mi gui
尾鳍	mi qi
尿	nieu
尿不湿	nieu bei si
尿卟啉	nieu ji tan
尿卟啉原	nieu ji tan nyuon
尿囊	nieu long
尿囊素	nieu long su
尿囊酸	nieu long son
尿壶	nieu fu
尿失禁	nieu si jin
尿崩	nieu beng
尿崩症	nieu beng zen
尿布	nieu bu
尿常规	nieu qiong gui
尿床	nieu cong
尿急	nieu ji
尿意	nieu yi
尿抑胃素	nieu yong wei su
尿样	nieu yong
尿桥蛋白	nieu qieu tan pa
尿桶	nieu teng
尿检	nieu jien
尿毒	nieu tu
尿毒症	nieu tu zen
尿水	nieu xyu
尿沉渣	nieu cen za
尿泡	nieu pau
尿流屁滚	nieu liu pi gun
尿浊	nieu zo
尿液	nieu ye
尿湿	nieu si
尿潴留	nieu jyu liu
尿炕	nieu kang
尿片	nieu pien
尿盆	nieu pen
尿石症	nieu xia zen
尿糖	nieu tong
尿素	nieu su
尿素原体	nieu su nyuon ti
尿素氮	nieu su tan
尿素生成	nieu su sang cen
尿素霜	nieu su song
尿肥	nieu fi
尿胆素	nieu dan su
尿胆素原	nieu dan su nyuon
尿胞	nieu bau
尿色素	nieu se su
尿色素原	nieu se su nyuon
尿苷酸	nieu gong son
尿蛋白	nieu tan pa
尿血	nieu xyue
尿裤子	nieu ku zu
尿赤素	nieu qia su
尿路	nieu lu
尿路感染	nieu lu gong len
尿道	nieu tau
尿道口	nieu tau kieu
尿道感染	nieu tau gong len
尿道炎	nieu tau yen
尿酸	nieu son
尿量	nieu liong
尿闭	nieu bi
尿频	nieu pin
尿黄素	nieu wong su
局	qiu
局中人	qiu jiung nin
局主席	qiu jyu xi
局促	qiu cu
局促不安	qiu cu bei ngon
局内	qiu nyu
局内人	qiu nyu nin
局势	qiu si
局势不妙	qiu si bei mieu
局势稳定	qiu si wen tiang
局地	qiu ti
局地扣天	qiu ti kieu tien
局地钥天	qiu ti yeu tien
局域	qiu yu
局域平衡	qiu yu piang hen
局域网	qiu yu mong
局域网络	qiu yu mong lo
局外	qiu ngoi
局外之人	qiu ngoi zi nin
局外人	qiu ngoi nin
局天促地	qiu tien cu ti
局天扣地	qiu tien kieu ti
局天蹐地	qiu tien ji ti
局委	qiu wei
局子	qiu zu
局局长	qiu qiu jiong
局属	qiu xu
局度	qiu tu
局座	qiu co
局性	qiu xin
局所	qiu so
局数	qiu su
局方	qiu fong
局机关	qiu ji kuan
局点	qiu dien
局确定	qiu ko tiang
局端	qiu doi
局管内	qiu guon nyu
局级	qiu ji
局质分泌	qiu zi fen mi
局部	qiu pu
局部代数	qiu pu toi su
局部优化	qiu pu yiu fa
局部凸	qiu pu tu
局部利益	qiu pu li yi
局部参数	qiu pu can su
局部变量	qiu pu bien liong
局部地区	qiu pu ti qyu
局部域	qiu pu yu
局部性	qiu pu xin
局部战争	qiu pu zan zang
局部收敛	qiu pu seu lien
局部紧群	qiu pu jin qyun
局部麻痹	qiu pu ma bi
局里	qiu li
局量	qiu liong
局长	qiu jiong
局长级	qiu jiong ji
局限	qiu han
局限于	qiu han yu
局限性	qiu han xin
局限海	qiu han hoi
局限转导	qiu han jon dau
局面	qiu mien
局骗	qiu pien
局骗拐带	qiu pien guai dai
局高蹐厚	qiu gau ji heu
局麻	qiu ma
屁	pi
屁事	pi su
屁大	pi tai
屁屁	pi pi
屁屁狗	pi pi gieu
屁滚尿流	pi gun nieu liu
屁用	pi yiung
屁眼	pi ngan
屁眼儿	pi ngan e
屁股	pi gu
屁股后头	pi gu heu teu
屁股头	pi gu teu
屁股痛	pi gu teng
屁股蛋子	pi gu tan zu
屁臭	pi ceu
屁话	pi wa
层	ceng
层云	ceng yun
层交换机	ceng gau won ji
层位	ceng wei
层内干扰	ceng nyu kon leu
层内运移	ceng nyu yun yi
层出不穷	ceng qyu bei qiung
层出叠见	ceng qyu die jien
层出迭见	ceng qyu tu jien
层压	ceng nga
层压材料	ceng nga coi lieu
层压板	ceng nga ban
层叠	ceng die
层台累榭	ceng toi lei xia
层呈	ceng cen
层层	ceng ceng
层层加码	ceng ceng ga ma
层层包围	ceng ceng bau wei
层层叠叠	ceng ceng die die
层层落实	ceng ceng lai si
层层迭迭	ceng ceng tu tu
层峦	ceng lon
层峦叠嶂	ceng lon die jiung
层峦叠翠	ceng lon die qyu
层峰	ceng feng
层峰会议	ceng feng fi ni
层报	ceng bau
层排	ceng pai
层数	ceng su
层替换	ceng ti won
层板	ceng ban
层析	ceng xi
层析介质	ceng xi kai zi
层析仪	ceng xi yi
层析分析	ceng xi fen xi
层析分离	ceng xi fen li
层析原理	ceng xi nyuon li
层析图	ceng xi tu
层析峰	ceng xi feng
层析带	ceng xi dai
层析性能	ceng xi xin len
层析成像	ceng xi cen xiong
层析技术	ceng xi ji xyu
层析效能	ceng xi hau len
层析数据	ceng xi su jyu
层析柱	ceng xi jyu
层析离	ceng xi li
层析系统	ceng xi xi teng
层析级	ceng xi ji
层析聚焦	ceng xi jyu jieu
层析谱	ceng xi pu
层林尽染	ceng lin qin len
层楼	ceng leu
层次	ceng cu
层次分	ceng cu fen
层次分明	ceng cu fen miang
层次化	ceng cu fa
层次性	ceng cu xin
层次感	ceng cu gong
层次数据库	ceng cu su jyu ku
层次模型	ceng cu mo xin
层次等级	ceng cu den ji
层次结构	ceng cu jie gieu
层流	ceng liu
层状	ceng cong
层状介质	ceng cong kai zi
层理	ceng li
层皮	ceng pi
层积	ceng ji
层积云	ceng ji yun
层积材	ceng ji coi
层粘蛋白	ceng zen tan pa
层系	ceng xi
层级	ceng ji
层级制	ceng ji zi
层结湖	ceng jie fu
层见叠出	ceng jien die qyu
层见迭出	ceng jien tu qyu
层见错出	ceng jien co qyu
层间流	ceng gan liu
层间窜流	ceng gan con liu
